_stem,corpus_group,corpus,crowd_rating,ref_rating,istc,cv_pipeline,n_participants
29-R7WW7vGNFp8,globalmood40,globalmood,4.25,,39.93333333333333,0.02629,110
3-bDNEQZoEg60,globalmood40,globalmood,5.588235294117647,,76.2,0.01064,109
30-TEg8G9YoN_4,globalmood40,globalmood,5.409090909090909,,68.96666666666667,0.01521,110
31-UsmHjyrxAQE,globalmood40,globalmood,5.714285714285714,,58.4,0.01483,108
32-vdTlMwgMOpo,globalmood40,globalmood,4.9375,,81.0,0.00787,110
33-W5nY3LsgKaM,globalmood40,globalmood,4.923076923076923,,69.56666666666666,0.00633,109
34-wCBu0PkoNPs,globalmood40,globalmood,4.8,,49.63333333333333,0.00690,112
35-wDjlvzXYlvo,globalmood40,globalmood,5.777777777777778,,78.0,0.00694,111
36-X6bd8vGQTpE,globalmood40,globalmood,4.0,,42.86666666666667,0.01829,107
37-xkruFx9q9cs,globalmood40,globalmood,6.125,,68.4,0.00776,111
38-xPZn7LXUcKE,globalmood40,globalmood,5.6923076923076925,,87.73333333333333,0.00950,110
39-yBFsM49an2I,globalmood40,globalmood,5.166666666666667,,64.46666666666667,0.01242,110
4-E_O9dOl1dlo,globalmood40,globalmood,5.722222222222222,,74.76666666666667,0.00458,110
40-ZyXEyRT-1S0,globalmood40,globalmood,2.6,,33.5,0.02450,109
5-HufeFlfAhT8,globalmood40,globalmood,5.1875,,58.2,0.01230,111
6-hWwzVQgV8u4,globalmood40,globalmood,4.705882352941177,,64.93333333333334,0.00547,111
7-hZmtsGVZBpA,globalmood40,globalmood,4.625,,60.43333333333333,0.01563,109
8-j9qu4Y4AwUM,globalmood40,globalmood,5.464285714285714,,61.7,0.01190,110
9-L4mxIf1QQRM,globalmood40,globalmood,6.0,,48.5,0.01081,110
Albums-AnaBelen_Veneo-13,ballroom,ballroom,4.7,4.1,27.466666666666665,0.02360,89
Albums-Ballroom_Classics4-01,ballroom,ballroom,4.0,3.5625,20.9,0.01982,91
Albums-Cafe_Paradiso-09,ballroom,ballroom,3.642857142857143,3.6,15.9,0.01267,49
Albums-Chrisanne2-12,ballroom,ballroom_heldout,5.545454545454546,5.5,18.4,0.02193,40
Albums-Chrisanne3-09,ballroom,ballroom_heldout,3.388888888888889,3.2222222222222223,17.4,0.02165,40
Albums-GloriaEstefan_MiTierra-04,ballroom,ballroom,5.0,5.076923076923077,17.333333333333332,0.02086,48
Albums-GloriaEstefan_MiTierra-06,ballroom,ballroom,5.176470588235294,5.117647058823529,19.066666666666666,0.01837,49
Albums-GloriaEstefan_MiTierra-11,ballroom,ballroom_heldout,5.0,5.384615384615385,24.2,0.01861,40
Albums-Latin_Jam-04,ballroom,ballroom_heldout,6.166666666666667,6.333333333333333,28.0,0.00906,39
Albums-Latin_Jam4-08,ballroom,ballroom_heldout,5.294117647058823,5.5,28.9,0.01070,40
Albums-Latino_Latino-10,ballroom,ballroom,5.0,5.5,22.2,0.01936,49
Albums-Macumba-07,ballroom,ballroom_heldout,5.9375,6.125,29.9,0.00664,40
Albums-Step_By_Step-03,ballroom,ballroom_heldout,4.6,5.214285714285714,18.166666666666668,0.01554,41
Albums-StrictlyDancing_Tango-09,ballroom,ballroom_heldout,5.25,5.625,22.366666666666667,0.01235,40
Bach_Fugue_bwv_846_Shi05M,benchmark100,asap,5.0,4.857142857142857,19.5,0.01823,35
Beethoven_Piano_Sonatas_16-1_Khmara05M,benchmark100,asap,3.3076923076923075,4.538461538461538,15.033333333333333,0.02412,36
Chopin_Etudes_op_10_1_ChenW03M,benchmark100,asap,3.0,2.125,11.066666666666666,0.02986,36
Debussy_Images_Book_1_1_Reflets_dans_lEau_ParkJH13M,benchmark100,asap,2.7222222222222223,3.3333333333333335,11.5,0.0306,35
Haydn_Keyboard_Sonatas_50-1_no_repeat_GalantM02M,benchmark100,asap,4.214285714285714,5.0,16.3,0.01799,36
Liszt_Annees_de_pelerinage_2_1_Gondoliera_LeungM08M,benchmark100,asap,2.4444444444444446,3.888888888888889,9.2,0.01319,35
Media-100616,ballroom,ballroom_heldout,6.066666666666666,6.2,23.6,0.01893,40
Media-103401,ballroom,ballroom,6.416666666666667,6.666666666666667,31.0,0.00727,49
Media-103410,ballroom,ballroom_heldout,6.375,6.533333333333333,30.666666666666668,0.00915,40
Media-103412,ballroom,ballroom_heldout,5.0,5.0,29.166666666666668,0.01127,40
Media-103413,ballroom,ballroom,6.444444444444445,6.5,24.8,0.01115,49
Media-103501,ballroom,ballroom,5.238095238095238,5.0476190476190474,35.9,0.01068,90
Media-103507,ballroom,ballroom,5.066666666666666,5.666666666666667,23.366666666666667,0.01702,49
Media-103511,ballroom,ballroom,5.266666666666667,5.8,19.933333333333334,0.01431,49
Media-103512,ballroom,ballroom,5.555555555555555,5.777777777777778,22.9,0.00954,49
Media-103515,ballroom,ballroom,5.590909090909091,5.695652173913044,26.033333333333335,0.00395,49
Media-103516,ballroom,ballroom,5.7,5.666666666666667,20.5,0.02184,48
Media-103517,ballroom,ballroom,3.3076923076923075,5.083333333333333,19.6,0.01286,49
Media-103601,ballroom,ballroom,5.25,6.4,34.9,0.01318,48
Media-103605,ballroom,ballroom,5.3125,5.5,27.866666666666667,0.02033,48
Media-103606,ballroom,ballroom,3.8333333333333335,5.0,25.1,0.02980,89
Media-103608,ballroom,ballroom,5.230769230769231,5.615384615384615,27.7,0.00571,47
Media-103611,ballroom,ballroom,5.625,6.125,25.633333333333333,0.00723,49
Media-103704,ballroom,ballroom_heldout,5.857142857142857,5.714285714285714,31.6,0.00893,40
Media-103705,ballroom,ballroom_heldout,4.409090909090909,5.0476190476190474,23.733333333333334,0.01837,40
Media-103707,ballroom,ballroom,5.916666666666667,6.0,24.533333333333335,0.01775,49
Media-103709,ballroom,ballroom,4.571428571428571,5.285714285714286,33.06666666666667,0.01829,86
Media-103711,ballroom,ballroom_heldout,3.6153846153846154,4.846153846153846,22.1,0.00547,40
Media-103712,ballroom,ballroom_heldout,3.8421052631578942,5.333333333333333,23.2,0.00610,40
Media-103714,ballroom,ballroom_heldout,4.8,5.15,23.033333333333335,0.00630,40
Media-103807,ballroom,ballroom_heldout,4.578947368421052,4.578947368421052,30.066666666666666,0.01305,41
Media-103812,ballroom,ballroom_heldout,5.933333333333334,6.428571428571429,29.9,0.00563,40
Media-103917,ballroom,ballroom_heldout,5.631578947368421,6.0,30.266666666666666,0.00686,40
Media-104101,ballroom,ballroom_heldout,6.2,6.333333333333333,28.333333333333332,0.00858,40
Media-104203,ballroom,ballroom_heldout,4.769230769230769,4.666666666666667,17.266666666666666,0.01649,40
Media-104204,ballroom,ballroom_heldout,4.6875,5.5625,21.7,0.01172,41
Media-104406,ballroom,ballroom_heldout,5.166666666666667,3.8333333333333335,24.7,0.01050,41
Media-104415,ballroom,ballroom_heldout,5.0,4.4,26.7,0.00764,40
Media-104501,ballroom,ballroom,4.846153846153846,4.538461538461538,28.066666666666666,0.01288,91
Media-104502,ballroom,ballroom,4.529411764705882,4.470588235294118,19.433333333333334,0.02065,90
Media-104506,ballroom,ballroom,5.583333333333333,5.833333333333333,30.233333333333334,0.01554,48
Media-104507,ballroom,ballroom,5.3125,3.1875,29.533333333333335,0.01178,91
Media-104508,ballroom,ballroom,3.466666666666667,3.8666666666666663,18.933333333333334,0.02300,49
Media-104514,ballroom,ballroom,4.428571428571429,4.857142857142857,45.833333333333336,0.01859,89
Media-104516,ballroom,ballroom,4.6923076923076925,4.538461538461538,37.53333333333333,0.02322,89
Media-104601,ballroom,ballroom,3.466666666666667,3.7333333333333334,24.1,0.02379,89
Media-104605,ballroom,ballroom,5.714285714285714,5.428571428571429,25.866666666666667,0.01501,49
Media-104606,ballroom,ballroom,5.0,5.4,23.1,0.01589,49
Media-104607,ballroom,ballroom,5.545454545454546,5.545454545454546,35.766666666666666,0.00807,88
Media-104615,ballroom,ballroom,4.045454545454546,4.5,38.86666666666667,0.00683,90
Media-104706,ballroom,ballroom,4.2,5.0,26.7,0.01416,49
Media-104711,ballroom,ballroom,3.6666666666666665,2.3333333333333335,21.2,0.02154,91
Media-104716,ballroom,ballroom,4.6923076923076925,4.461538461538462,40.53333333333333,0.01829,88
Media-104804,ballroom,ballroom_heldout,3.4,4.0,11.133333333333333,0.02870,40
Media-104806,ballroom,ballroom_heldout,5.083333333333333,4.166666666666667,25.233333333333334,0.00554,40
Media-104906,ballroom,ballroom_heldout,3.8823529411764706,3.823529411764706,25.3,0.02044,40
Media-105009,ballroom,ballroom_heldout,5.0,5.333333333333333,23.233333333333334,0.00537,40
Media-105108,ballroom,ballroom_heldout,5.714285714285714,5.0,24.0,0.01964,39
Media-105315,ballroom,ballroom_heldout,5.2,4.6,21.9,0.00457,40
Media-105407,ballroom,ballroom_heldout,6.222222222222222,6.444444444444445,30.633333333333333,0.01097,40
Media-105516,ballroom,ballroom_heldout,5.533333333333333,4.785714285714286,25.7,0.01673,41
Media-105611,ballroom,ballroom,5.684210526315789,5.55,29.733333333333334,0.00604,49
Media-105612,ballroom,ballroom,6.545454545454546,6.545454545454546,26.733333333333334,0.00823,49
Media-105704,ballroom,ballroom_heldout,4.090909090909091,4.545454545454546,21.433333333333334,0.01594,40
Media-105716,ballroom,ballroom_heldout,4.25,4.583333333333333,21.333333333333332,0.00625,39
Media-105807,ballroom,ballroom_heldout,4.909090909090909,4.863636363636363,23.533333333333335,0.01688,40
Media-105819,ballroom,ballroom_heldout,5.625,5.75,20.966666666666665,0.00783,40
Media-105914,ballroom,ballroom_heldout,4.411764705882353,3.5294117647058822,21.033333333333335,0.00977,40
Media-106005,ballroom,ballroom_heldout,5.666666666666667,5.666666666666667,29.833333333333332,0.00949,41
Media-106009,ballroom,ballroom,5.2,6.066666666666666,22.933333333333334,0.00858,49
Media-106012,ballroom,ballroom_heldout,5.6923076923076925,5.923076923076923,24.066666666666666,0.01014,39
Media-106114,ballroom,ballroom_heldout,4.533333333333333,4.933333333333334,24.966666666666665,0.00610,41
Mozart_Piano_Sonatas_12-3_MunA05M,benchmark100,asap,3.1,2.3,15.033333333333333,0.0086,36
Schubert_Piano_Sonatas_894-2_Yeletskiy08M,benchmark100,asap,3.0,2.272727272727273,10.1,0.0329,35
aksak1,benchmark100,turkish,4.095238095238095,3.7,15.8,0.02,35
aksak2,benchmark100,turkish,4.764705882352941,3.8823529411764706,19.1,0.0211,36
beatles_01_Please_Please_Me_01_I_Saw_Her_Standing_There,benchmark100,beatles,5.470588235294118,5.176470588235294,24.566666666666666,0.00797,36
beatles_01_Please_Please_Me_02_Misery,benchmark100,beatles,5.052631578947368,3.210526315789474,21.466666666666665,0.01737,35
beatles_01_Please_Please_Me_03_Anna_(Go_To_Him),benchmark100,beatles,4.888888888888889,5.444444444444445,20.266666666666666,0.0169,36
beatles_01_Please_Please_Me_04_Chains,benchmark100,beatles,4.923076923076923,4.357142857142857,22.733333333333334,0.01025,36
beatles_04_Beatles_for_Sale_06_Mr_Moonlight,benchmark100,beatles,4.5,3.857142857142857,19.866666666666667,0.02146,36
beatles_05_Help_12_Ive_Just_Seen_a_Face,benchmark100,beatles,5.0,5.133333333333334,18.066666666666666,0.01825,36
beatles_07_Revolver_06_Yellow_Submarine,benchmark100,beatles,4.764705882352941,3.0588235294117645,19.5,0.01491,35
beatles_07_Revolver_12_I_Want_To_Tell_You,benchmark100,beatles,4.5,2.3,22.3,0.01881,36
carnatic1,benchmark100,carnatic,5.090909090909091,4.714285714285714,13.033333333333333,0.02535,35
carnatic2,benchmark100,carnatic,5.052631578947368,5.526315789473684,11.733333333333333,0.02043,36
carnatic3,benchmark100,carnatic,4.235294117647059,4.0588235294117645,13.733333333333333,0.01005,36
carnatic4,benchmark100,carnatic,4.368421052631579,5.052631578947368,9.633333333333333,0.02579,35
cretan1,benchmark100,cretan,5.64,5.52,26.633333333333333,0.00472,36
cretan2,benchmark100,cretan,5.222222222222222,5.666666666666667,21.566666666666666,0.01566,36
cretan3,benchmark100,cretan,5.222222222222222,5.705882352941177,26.333333333333332,0.00957,35
csic.1995_ansina1_01,benchmark100,candombe,6.2727272727272725,4.333333333333333,22.166666666666668,0.01429,36
csic.1995_ansina1_02,benchmark100,candombe,4.4375,3.0625,22.1,0.0033,35
csic.1995_ansina2_01,benchmark100,candombe,2.8,3.7857142857142856,17.066666666666666,0.00988,35
csic.1995_cuareim_01,benchmark100,candombe,3.1,4.3,16.3,0.02694,35
csic.1995_cuareim_02,benchmark100,candombe,5.0,5.0,15.4,0.00905,35
curcuna1,benchmark100,turkish,3.4166666666666665,2.9166666666666665,10.8,0.03281,35
curcuna2,benchmark100,turkish,3.7142857142857144,3.4285714285714284,16.2,0.01951,36
drummer10_session1_9_jazz-swing_110_beat_4-4,benchmark100,groove_midi,5.375,4.647058823529412,25.466666666666665,0.01039,36
drummer1_eval_session_5_funk-groove5_84_beat_4-4,benchmark100,groove_midi,5.0,5.333333333333333,19.433333333333334,0.01734,35
drummer3_session1_11_rock_120_beat_4-4,benchmark100,groove_midi,5.666666666666667,5.470588235294118,22.866666666666667,0.01207,35
drummer4_session1_1_rock_87_beat_4-4,benchmark100,groove_midi,4.214285714285714,5.0,18.666666666666668,0.01497,35
drummer5_eval_session_5_funk-groove5_84_beat_4-4,benchmark100,groove_midi,3.823529411764706,5.117647058823529,19.833333333333332,0.01949,36
drummer5_session2_18_latin-brazilian-samba_93_beat_4-4,benchmark100,groove_midi,3.1052631578947367,4.315789473684211,16.633333333333333,0.01701,36
drummer6_session1_1_rock_70_beat_6-8,benchmark100,groove_midi,4.2105263157894735,3.6842105263157894,20.566666666666666,0.02112,35
drummer7_session3_159_soul_98_beat_4-4,benchmark100,groove_midi,4.222222222222222,4.722222222222222,22.6,0.0153,34
duyek1,benchmark100,turkish,5.4,4.133333333333334,19.8,0.01815,35
duyek2,benchmark100,turkish,5.071428571428571,5.071428571428571,16.6,0.0224,36
gtzan_blues_00000,benchmark100,gtzan,5.6923076923076925,5.0,19.8,0.01117,36
gtzan_classical_00000,benchmark100,gtzan,4.416666666666667,4.666666666666667,16.6,0.01731,35
gtzan_country_00000,benchmark100,gtzan,5.1,4.8,16.333333333333332,0.0147,36
gtzan_disco_00000,benchmark100,gtzan,5.857142857142857,6.0,25.433333333333334,0.00305,36
gtzan_hiphop_00000,benchmark100,gtzan,5.411764705882353,5.823529411764706,21.4,0.01784,37
gtzan_jazz_00000,benchmark100,gtzan,3.933333333333333,4.133333333333334,14.633333333333333,0.02306,36
gtzan_metal_00000,benchmark100,gtzan,4.833333333333333,4.5,24.533333333333335,0.01058,36
gtzan_pop_00000,benchmark100,gtzan,3.066666666666667,4.6875,18.733333333333334,0.01802,35
hainsworth_001,benchmark100,hainsworth,4.866666666666666,5.266666666666667,22.666666666666668,0.00945,36
hainsworth_002,benchmark100,hainsworth,2.8461538461538463,4.357142857142857,15.033333333333333,0.02047,36
hainsworth_003,benchmark100,hainsworth,4.083333333333333,4.416666666666667,11.1,0.03005,35
hainsworth_006,benchmark100,hainsworth,2.55,3.6666666666666665,10.7,0.01305,35
hainsworth_019,benchmark100,hainsworth,4.75,4.875,22.566666666666666,0.00819,36
hainsworth_095,benchmark100,hainsworth,5.333333333333333,5.533333333333333,22.466666666666665,0.0044,35
hainsworth_112,benchmark100,hainsworth,3.2941176470588234,4.0588235294117645,17.166666666666668,0.02119,36
hainsworth_173,benchmark100,hainsworth,5.0,5.571428571428571,23.133333333333333,0.00998,35
proyecto.1992_gimenez_02,benchmark100,candombe,3.769230769230769,3.8461538461538463,14.6,0.02082,36
proyecto.1992_gimenez_06,benchmark100,candombe,5.684210526315789,3.263157894736842,16.933333333333334,0.02093,35
proyecto.1992_lobo_01,benchmark100,candombe,5.166666666666667,4.583333333333333,16.533333333333335,0.0065,35
proyecto.1992_lobo_06,benchmark100,candombe,5.1,4.2,18.0,0.01798,36
proyecto.1992_magarinos_02,benchmark100,candombe,4.6,5.0,14.233333333333333,0.02382,36
proyecto.1992_pelado_01,benchmark100,candombe,3.066666666666667,4.0,15.1,0.02713,35
rwc_classical_CD1_01,benchmark100,rwc,2.8461538461538463,4.384615384615385,9.433333333333334,0.02582,35
rwc_classical_CD1_02,benchmark100,rwc,4.5,3.692307692307693,18.1,0.01554,36
rwc_classical_CD1_03,benchmark100,rwc,3.263157894736842,2.2222222222222223,12.0,0.02604,35
rwc_jazz_CD1_13,benchmark100,rwc,4.071428571428571,4.214285714285714,14.866666666666667,0.02462,35
rwc_jazz_CD4_14,benchmark100,rwc,5.0588235294117645,5.176470588235294,26.633333333333333,0.01113,35
rwc_popular_CD1_01,benchmark100,rwc,4.25,4.25,24.266666666666666,0.01165,36
rwc_popular_CD2_05,benchmark100,rwc,4.933333333333334,5.285714285714286,23.433333333333334,0.00584,36
rwc_popular_CD3_03,benchmark100,rwc,5.0,4.411764705882353,17.766666666666666,0.02141,36
sofyan1,benchmark100,turkish,4.647058823529412,4.235294117647059,20.133333333333333,0.01926,35
sofyan2,benchmark100,turkish,4.388888888888889,3.8333333333333335,18.933333333333334,0.01273,36
train1,mirex,mirex,5.545454545454546,5.833333333333333,34.03333333333333,0.00292,47
train10,mirex,mirex,3.4285714285714284,3.6,23.6,0.02012,47
train11,mirex,mirex,4.9411764705882355,4.9411764705882355,34.2,0.01421,47
train12,mirex,mirex,4.181818181818182,4.818181818181818,20.033333333333335,0.03826,90
train13,mirex,mirex,2.1538461538461537,4.0,27.933333333333334,0.00779,48
train14,mirex,mirex,5.095238095238095,5.238095238095238,30.133333333333333,0.00956,44
train15,mirex,mirex,4.357142857142857,3.933333333333333,47.266666666666666,0.00496,86
train16,mirex,mirex,4.4,4.476190476190476,41.53333333333333,0.01572,86
train17,mirex,mirex,3.2777777777777777,2.888888888888889,24.1,0.02251,90
train18,mirex,mirex,4.714285714285714,2.5714285714285716,31.366666666666667,0.01563,89
train19,mirex,mirex,4.888888888888889,5.277777777777778,28.2,0.01989,45
train2,mirex,mirex,4.090909090909091,5.454545454545454,35.833333333333336,0.00763,88
train20,mirex,mirex,2.769230769230769,2.5384615384615383,49.06666666666667,0.00474,89
train3,mirex,mirex,4.4,4.642857142857143,30.233333333333334,0.01689,48
train4,mirex,mirex,5.2,4.5,40.86666666666667,0.01910,89
train5,mirex,mirex,5.2,5.2,25.066666666666666,0.01213,48
train6,mirex,mirex,3.466666666666667,4.642857142857143,31.233333333333334,0.00653,90
train7,mirex,mirex,4.875,3.7142857142857144,36.53333333333333,0.00696,89
train8,mirex,mirex,4.368421052631579,4.5,32.833333333333336,0.00552,45
train9,mirex,mirex,5.230769230769231,5.384615384615385,32.4,0.01242,47
zavala.muniz.2014_42,benchmark100,candombe,4.461538461538462,4.846153846153846,16.466666666666665,0.01113,36
zavala.muniz.2014_45,benchmark100,candombe,3.7333333333333334,4.0,16.8,0.00927,35
