stem_id,corpus,has_reference,audio_source
Media-103711,ballroom_heldout,True,upstream::ballroom_heldout
Media-103712,ballroom_heldout,True,upstream::ballroom_heldout
Media-103714,ballroom_heldout,True,upstream::ballroom_heldout
Media-103807,ballroom_heldout,True,upstream::ballroom_heldout
Media-103812,ballroom_heldout,True,upstream::ballroom_heldout
Media-103917,ballroom_heldout,True,upstream::ballroom_heldout
Media-104101,ballroom_heldout,True,upstream::ballroom_heldout
Media-104203,ballroom_heldout,True,upstream::ballroom_heldout
Media-104204,ballroom_heldout,True,upstream::ballroom_heldout
Media-104406,ballroom_heldout,True,upstream::ballroom_heldout
Media-104415,ballroom_heldout,True,upstream::ballroom_heldout
Media-104804,ballroom_heldout,True,upstream::ballroom_heldout
Media-104806,ballroom_heldout,True,upstream::ballroom_heldout
Media-104906,ballroom_heldout,True,upstream::ballroom_heldout
Media-105009,ballroom_heldout,True,upstream::ballroom_heldout
Media-105108,ballroom_heldout,True,upstream::ballroom_heldout
Media-105315,ballroom_heldout,True,upstream::ballroom_heldout
Media-105407,ballroom_heldout,True,upstream::ballroom_heldout
Media-105516,ballroom_heldout,True,upstream::ballroom_heldout
Media-105704,ballroom_heldout,True,upstream::ballroom_heldout
Media-105716,ballroom_heldout,True,upstream::ballroom_heldout
Media-105807,ballroom_heldout,True,upstream::ballroom_heldout
Media-105819,ballroom_heldout,True,upstream::ballroom_heldout
Media-105914,ballroom_heldout,True,upstream::ballroom_heldout
Media-106005,ballroom_heldout,True,upstream::ballroom_heldout
Media-106012,ballroom_heldout,True,upstream::ballroom_heldout
Media-106114,ballroom_heldout,True,upstream::ballroom_heldout
beatles_01_Please_Please_Me_01_I_Saw_Her_Standing_There,beatles,True,upstream::beatles
beatles_01_Please_Please_Me_02_Misery,beatles,True,upstream::beatles
beatles_01_Please_Please_Me_03_Anna_(Go_To_Him),beatles,True,upstream::beatles
beatles_01_Please_Please_Me_04_Chains,beatles,True,upstream::beatles
beatles_04_Beatles_for_Sale_06_Mr_Moonlight,beatles,True,upstream::beatles
beatles_05_Help_12_Ive_Just_Seen_a_Face,beatles,True,upstream::beatles
beatles_07_Revolver_06_Yellow_Submarine,beatles,True,upstream::beatles
beatles_07_Revolver_12_I_Want_To_Tell_You,beatles,True,upstream::beatles
csic.1995_ansina1_01,candombe,True,upstream::candombe
csic.1995_ansina1_02,candombe,True,upstream::candombe
csic.1995_ansina2_01,candombe,True,upstream::candombe
csic.1995_cuareim_01,candombe,True,upstream::candombe
csic.1995_cuareim_02,candombe,True,upstream::candombe
proyecto.1992_gimenez_02,candombe,True,upstream::candombe
proyecto.1992_gimenez_06,candombe,True,upstream::candombe
proyecto.1992_lobo_01,candombe,True,upstream::candombe
proyecto.1992_lobo_06,candombe,True,upstream::candombe
proyecto.1992_magarinos_02,candombe,True,upstream::candombe
proyecto.1992_pelado_01,candombe,True,upstream::candombe
zavala.muniz.2014_42,candombe,True,upstream::candombe
zavala.muniz.2014_45,candombe,True,upstream::candombe
carnatic1,carnatic,True,upstream::carnatic
carnatic2,carnatic,True,upstream::carnatic
carnatic3,carnatic,True,upstream::carnatic
carnatic4,carnatic,True,upstream::carnatic
cretan1,cretan,True,upstream::cretan
cretan2,cretan,True,upstream::cretan
cretan3,cretan,True,upstream::cretan
1-0fGHZf0K1p8,globalmood,False,upstream::globalmood
10-TunFcFByq28,globalmood,False,upstream::globalmood
11-JWyovRzld1I,globalmood,False,upstream::globalmood
12-4Snl5lw-ku4,globalmood,False,upstream::globalmood
13-1K4KwuV2l4s,globalmood,False,upstream::globalmood
14-4ZMq4-T0DaQ,globalmood,False,upstream::globalmood
15-cg49uu60tXk,globalmood,False,upstream::globalmood
16-cXuGD48qs3Y,globalmood,False,upstream::globalmood
17-ehHKH5PbGYc,globalmood,False,upstream::globalmood
18-FxQUodHlP5M,globalmood,False,upstream::globalmood
19-Ii8t-XIw6aM,globalmood,False,upstream::globalmood
2-0R8IbpKXavM,globalmood,False,upstream::globalmood
20-ipDNOrqLIHU,globalmood,False,upstream::globalmood
21-IQCCdf_sVO0,globalmood,False,upstream::globalmood
22-JfiORjOfXnc,globalmood,False,upstream::globalmood
23-JQnN90qqSZg,globalmood,False,upstream::globalmood
24-M9moY0hEJRE,globalmood,False,upstream::globalmood
25-niyrxbHusd0,globalmood,False,upstream::globalmood
26-NXek-3pRZM8,globalmood,False,upstream::globalmood
27-oIEjo5eh5FY,globalmood,False,upstream::globalmood
28-QEd7PTIDGT8,globalmood,False,upstream::globalmood
29-R7WW7vGNFp8,globalmood,False,upstream::globalmood
3-bDNEQZoEg60,globalmood,False,upstream::globalmood
30-TEg8G9YoN_4,globalmood,False,upstream::globalmood
31-UsmHjyrxAQE,globalmood,False,upstream::globalmood
32-vdTlMwgMOpo,globalmood,False,upstream::globalmood
33-W5nY3LsgKaM,globalmood,False,upstream::globalmood
34-wCBu0PkoNPs,globalmood,False,upstream::globalmood
35-wDjlvzXYlvo,globalmood,False,upstream::globalmood
36-X6bd8vGQTpE,globalmood,False,upstream::globalmood
37-xkruFx9q9cs,globalmood,False,upstream::globalmood
38-xPZn7LXUcKE,globalmood,False,upstream::globalmood
39-yBFsM49an2I,globalmood,False,upstream::globalmood
4-E_O9dOl1dlo,globalmood,False,upstream::globalmood
40-ZyXEyRT-1S0,globalmood,False,upstream::globalmood
5-HufeFlfAhT8,globalmood,False,upstream::globalmood
6-hWwzVQgV8u4,globalmood,False,upstream::globalmood
7-hZmtsGVZBpA,globalmood,False,upstream::globalmood
8-j9qu4Y4AwUM,globalmood,False,upstream::globalmood
9-L4mxIf1QQRM,globalmood,False,upstream::globalmood
drummer10_session1_9_jazz-swing_110_beat_4-4,groove_midi,True,upstream::groove_midi
drummer1_eval_session_5_funk-groove5_84_beat_4-4,groove_midi,True,upstream::groove_midi
drummer3_session1_11_rock_120_beat_4-4,groove_midi,True,upstream::groove_midi
drummer4_session1_1_rock_87_beat_4-4,groove_midi,True,upstream::groove_midi
drummer5_eval_session_5_funk-groove5_84_beat_4-4,groove_midi,True,upstream::groove_midi
drummer5_session2_18_latin-brazilian-samba_93_beat_4-4,groove_midi,True,upstream::groove_midi
drummer6_session1_1_rock_70_beat_6-8,groove_midi,True,upstream::groove_midi
drummer7_session3_159_soul_98_beat_4-4,groove_midi,True,upstream::groove_midi
gtzan_blues_00000,gtzan,True,upstream::gtzan
gtzan_classical_00000,gtzan,True,upstream::gtzan
gtzan_country_00000,gtzan,True,upstream::gtzan
gtzan_disco_00000,gtzan,True,upstream::gtzan
gtzan_hiphop_00000,gtzan,True,upstream::gtzan
gtzan_jazz_00000,gtzan,True,upstream::gtzan
gtzan_metal_00000,gtzan,True,upstream::gtzan
gtzan_pop_00000,gtzan,True,upstream::gtzan
00_Funk3-98-A_comp_mix,guitarset,True,upstream::guitarset
00_Rock2-85-F_comp_mix,guitarset,True,upstream::guitarset
00_SS1-68-E_comp_mix,guitarset,True,upstream::guitarset
00_SS2-88-F_comp_mix,guitarset,True,upstream::guitarset
01_Funk2-108-Eb_comp_mix,guitarset,True,upstream::guitarset
02_BN3-119-G_comp_mix,guitarset,True,upstream::guitarset
02_Jazz2-110-Bb_comp_mix,guitarset,True,upstream::guitarset
03_SS3-84-Bb_comp_mix,guitarset,True,upstream::guitarset
hainsworth_001,hainsworth,True,upstream::hainsworth
hainsworth_002,hainsworth,True,upstream::hainsworth
hainsworth_003,hainsworth,True,upstream::hainsworth
hainsworth_006,hainsworth,True,upstream::hainsworth
hainsworth_019,hainsworth,True,upstream::hainsworth
hainsworth_095,hainsworth,True,upstream::hainsworth
hainsworth_112,hainsworth,True,upstream::hainsworth
hainsworth_173,hainsworth,True,upstream::hainsworth
0001_12step,harmonix,True,upstream::harmonix
0003_6foot7foot,harmonix,True,upstream::harmonix
0004_abc,harmonix,True,upstream::harmonix
0005_again,harmonix,True,upstream::harmonix
0054_conceited,harmonix,True,upstream::harmonix
0191_newslang,harmonix,True,upstream::harmonix
0773_kissmethruthephone,harmonix,True,upstream::harmonix
0948_thislove,harmonix,True,upstream::harmonix
train1,mirex,True,upstream::mirex
train10,mirex,True,upstream::mirex
train11,mirex,True,upstream::mirex
train12,mirex,True,upstream::mirex
train13,mirex,True,upstream::mirex
train14,mirex,True,upstream::mirex
train15,mirex,True,upstream::mirex
train16,mirex,True,upstream::mirex
train17,mirex,True,upstream::mirex
train18,mirex,True,upstream::mirex
train19,mirex,True,upstream::mirex
train2,mirex,True,upstream::mirex
train20,mirex,True,upstream::mirex
train3,mirex,True,upstream::mirex
train4,mirex,True,upstream::mirex
train5,mirex,True,upstream::mirex
train6,mirex,True,upstream::mirex
train7,mirex,True,upstream::mirex
train8,mirex,True,upstream::mirex
train9,mirex,True,upstream::mirex
rwc_classical_CD1_01,rwc,True,upstream::rwc
rwc_classical_CD1_02,rwc,True,upstream::rwc
rwc_classical_CD1_03,rwc,True,upstream::rwc
rwc_jazz_CD1_13,rwc,True,upstream::rwc
rwc_jazz_CD4_14,rwc,True,upstream::rwc
rwc_popular_CD1_01,rwc,True,upstream::rwc
rwc_popular_CD2_05,rwc,True,upstream::rwc
rwc_popular_CD3_03,rwc,True,upstream::rwc
001_youtube_fV4DiAyExN0,tapcorrect,True,upstream::tapcorrect
002_youtube_CvMfvuJsYmE,tapcorrect,True,upstream::tapcorrect
003_youtube_tXjqKzX28LI,tapcorrect,True,upstream::tapcorrect
004_youtube_IwOfCgkyEj0,tapcorrect,True,upstream::tapcorrect
005_youtube_RB-RcX5DS5A,tapcorrect,True,upstream::tapcorrect
025_youtube_8jsFGdeWNPo,tapcorrect,True,upstream::tapcorrect
054_youtube_UgL4N4Hf1dk,tapcorrect,True,upstream::tapcorrect
071_youtube_WBQ03PXMpqY,tapcorrect,True,upstream::tapcorrect
aksak1,turkish,True,upstream::turkish
aksak2,turkish,True,upstream::turkish
curcuna1,turkish,True,upstream::turkish
curcuna2,turkish,True,upstream::turkish
duyek1,turkish,True,upstream::turkish
duyek2,turkish,True,upstream::turkish
sofyan1,turkish,True,upstream::turkish
sofyan2,turkish,True,upstream::turkish
